"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Issuance Date"
"191","CAFR5231-A","U.S. Forest","Blue Source","Blue Source – Wisconsin",305122,305122,"0%","2016","CCO-8","Compliance",2024-08-26,2018-11-13
"138","CAFR5043-C","U.S. Forest","Blue Source","Blue Source – Goodman",23127,0,"100%","2016","CCO-8","Compliance",2024-06-30,2017-04-11
"131","CAFR5003-D","U.S. Forest","Finite Carbon","Blue Source – Bishop Improved",364181,252118,"31%","2016","CCO-8","Compliance",2024-06-23,2017-08-08
"115","CALS5014-D","Livestock","Blue Mountain Biogas.","Blue Mountain Biogas",33536,0,"100%","2016","CCO-3","Compliance",2019-07-31,2017-07-11
"106","CAFR5232-A","U.S. Forest","Western Rivers Forestry","Blue Creek",436608,0,"100%","2016","CCO-0","Compliance",2019-06-30,2017-09-12
"102","CALS5023-D","Livestock","Big Sky Dairy","Big Sky Dairy",22071,22071,"0%","2016","CCO-3","Compliance",2019-10-29,2018-03-13
"78","CAFR5106-A","U.S. Forest","The Conservation Fund","Big River / Salmon Creek",73667,73667,"0%","2016","CCO-0","Compliance",2019-04-15,2017-11-07
"66","CAFR5212-B","U.S. Forest","Bewley Ranches","Bewley Ranches",58664,58664,"0%","2016","CCO-8","Compliance",2024-09-30,2019-01-22
"61","CAMM5342-A","Mine Methane","Wabashco, Inc","Baker Mine AMM",2236,0,"100%","2016","CCO-8","Compliance",2024-10-04,2017-04-11
"55","CALS5152-C","Livestock","Aurora Ridge Dairy","Aurora Ridge Dairy",13363,0,"100%","2016","CCO-3","Compliance",2019-12-31,2018-02-13
"43","CALS5134-B","Livestock","Alliance Dairies","Alliance Dairy",14787,0,"100%","2016","CCO-3","Compliance",2019-11-05,2017-06-13
"21","CAOD5340-A","Ozone Depleting Substances",NA,"A-Gas O’Hare",111348,0,"100%","2016","CCO-3","Compliance",2019-11-05,2016-12-13
"12","CAOD5336-A","Ozone Depleting Substances",NA,"A-Gas Americas 2016-2",181190,0,"100%","2016","CCO-0","Compliance",2019-05-21,2016-09-27
"1780","CAFR5011-C","U.S. Forest","Forest Carbon Partners","Yurok Tribe/Forest Carbon",16436,822,"95%","2015","CCO-0","Compliance",2018-03-31,2016-02-23
"1771","CAFR5199-A","U.S. Forest","Finite Carbon","Wyoming Improved Forest",3615158,50289,"99%","2015","CCO-0","Compliance",2018-09-23,2017-05-23
"1715","CALS5124-A","Livestock","Willow Point Dairy","Willow Point Dairy, LLC",12678,0,"100%","2015","CCO-0","Compliance",2018-03-31,2016-02-23
"1705","CAFR5170-A","U.S. Forest","Coastal Ridges LLC","Willits Woods IFM",175730,175730,"0%","2015","CCO-8","Compliance",2023-12-31,2017-06-13
"1674","CALS5138-A","Livestock","Willet Dairy","Willet Dairy",17350,0,"100%","2015","CCO-0","Compliance",2018-11-29,2017-02-21
"1658","CAFR5072-B","U.S. Forest","White Mountain Apache Tribe","White Mountain Apache Tribe",178288,71801,"60%","2015","CCO-8","Compliance",2023-07-31,2017-08-22
"1652","CALS5126-A","Livestock","Riverview LLP","West River Farm Anaerobic",22396,0,"100%","2015","CCO-0","Compliance",2018-10-31,2016-06-21
"1633","CAFR5214-A","U.S. Forest","Finite Carbon","Warm Springs Phase One",1813212,1813212,"0%","2015","CCO-8","Compliance",2023-09-27,2018-08-07
"1625","CALS5019-B","Livestock","WTE Dairies","Wakker Digester",7599,0,"100%","2015","CCO-0","Compliance",2018-03-31,2016-02-09
"1619","CAOD5191-A","Ozone Depleting Substances","Wabashco, Inc","Wabashco Clean Sweep 6",39036,0,"100%","2015","CCO-8","Compliance",2023-09-28,2016-01-12
"1618","CAOD5177-A","Ozone Depleting Substances","Wabashco, Inc","Wabashco Clean Sweep 5",57589,12040,"79%","2015","CCO-0","Compliance",2018-04-23,2015-07-07
"1617","CAOD5099-A","Ozone Depleting Substances","Wabashco, Inc","Wabashco Clean Sweep 4",110003,106054,"4%","2015","CCO-0","Compliance",2018-02-13,2015-05-12
"1556","CALS5176-A","Livestock","Dairy Energy Inc","Vanderhyde Dairy",8393,0,"100%","2015","CCO-0","Compliance",2018-07-31,2016-09-13
"1552","CALS5101-A","Livestock","ClimeCo Corporation","Vander Haak Dairy COP",5146,0,"100%","2015","CCO-0","Compliance",2018-10-31,2016-12-27
"1544","CALS5060-B","Livestock","Van Erk Digester","Van-Erk Digester Project",4863,0,"100%","2015","CCO-8","Compliance",2023-12-31,2017-03-21
"1530","CAFR5281-A","U.S. Forest","Usal Redwood","Usal Redwood Forest – IFM",248509,185378,"25%","2015","CCO-8","Compliance",2023-12-31,2017-04-11
"1462","CALS5107-A","Livestock","Ag Power Llc","The Dry Creek Dairy Biofactory",43254,0,"100%","2015","CCO-0","Compliance",2018-12-31,2016-09-13
"1440","CALS5047-C","Livestock","ClimeCo Corporation","T&M Windy Ridge Dairy",24418,0,"100%","2015","CCO-0","Compliance",2018-12-31,2017-01-24
"1428","CALS5046-C","Livestock","ClimeCo Corporation","T&M Hidden View Dairy",13032,0,"100%","2015","CCO-0","Compliance",2018-12-31,2017-01-10
"1418","CALS5045-B","Livestock","ClimeCo Corporation","T&M Herrema Dairy",12450,12450,"0%","2015","CCO-0","Compliance",2018-01-31,2016-04-12
"1406","CALS5044-C","Livestock","ClimeCo Corporation","T&M Bos Dairy",11739,0,"100%","2015","CCO-0","Compliance",2018-12-31,2017-12-26
"1398","CALS5135-A","Livestock","Synergy Biogas","Synergy Biogas, LLC",6904,0,"100%","2015","CCO-0","Compliance",2018-11-30,2017-02-21
"1365","CALS5042-C","Livestock","Sunny Knoll Farms","Sunny Knoll Farms Anaerobic",4727,0,"100%","2015","CCO-0","Compliance",2018-10-31,2016-02-23
"1355","CALS5077-B","Livestock","Solar & Renewables Management","Stotz Southern Generation",13506,13506,"0%","2015","CCO-0","Compliance",2018-04-30,2016-05-24
"1347","CALS5175-A","Livestock","Storms Hog","Storms Hog Power, LLC",7334,0,"100%","2015","CCO-0","Compliance",2018-10-31,2016-06-07
"1327","CAMM5178-A","Mine Methane","Solvay Chemicals Inc.","Solvay Chemicals, Inc. Waste",189455,0,"100%","2015","CCO-0","Compliance",2018-12-31,2016-09-13
"1325","CALS5040-A","Livestock","3Degrees","Scenic View Dairy Methane",18359,0,"100%","2015","CCO-0","Compliance",2018-01-31,2015-11-09
"1314","CAFR5038-A","U.S. Forest","Sierra Pacific Industries","Sacramento Canyon ARB001",534860,529041,"1%","2015","CCO-8","Compliance",2023-02-03,2017-11-21
"1304","CAFR5028-C","U.S. Forest","Forest Carbon Partners","Round Valley Indian Tribes",38711,38711,"0%","2015","CCO-0","Compliance",2018-11-30,2017-03-21
"1294","CALS5223-A","Livestock",NA,"Rosendale Anaerobic Digester",28911,0,"100%","2015","CCO-0","Compliance",2018-09-15,2016-10-25
"1288","CALS5081-A","Livestock","Roeslein Alternative Energy","Roeslein Alternative Energy of",19648,0,"100%","2015","CCO-8","Compliance",2023-12-31,2016-10-11
"1280","CALS5125-A","Livestock","Riverview LLP","Riverview Farm Anaerobic",36268,0,"100%","2015","CCO-8","Compliance",2023-10-31,2016-06-21
"1260","CALS5132-B","Livestock","RES Agriculture","RES Ag – DM4-3 LLC",9251,0,"100%","2015","CCO-0","Compliance",2018-12-31,2016-12-13
"1252","CALS5133-B","Livestock","RES Agriculture","RES Ag – DM2-1 LLC",6340,0,"100%","2015","CCO-0","Compliance",2018-12-31,2016-12-13
"1213","CALS5197-A","Livestock","Pixley Biogas","Pixley Biogas, LLC",8213,8213,"0%","2015","CCO-8","Compliance",2023-12-31,2019-01-22
"1198","CALS5144-A","Livestock","ClimeCo Corporation","Patterson Farms COP",8379,0,"100%","2015","CCO-0","Compliance",2018-06-30,2016-06-21
"1170","CALS5097-B","Livestock","Pagel's Dairy","Pagel's Ponderosa Dairy",22208,0,"100%","2015","CCO-0","Compliance",2018-09-30,2018-06-12
"1165","CALS5131-A","Livestock","Pacific Rim","Pacific Rim Dairy Digester",31704,31704,"0%","2015","CCO-0","Compliance",2018-12-31,2016-09-27
"1155","CALS5032-C","Livestock","New Energy One","New Energy One Livestock",41572,0,"100%","2015","CCO-0","Compliance",2018-09-30,2016-04-12
"1138","CAFR5016-C","U.S. Forest","Edward Miller","Miller Forest",5911,0,"100%","2015","CCO-8","Compliance",2023-06-30,2016-04-26
"1117","CAMM5100-B","Mine Methane","McElroy Green Marketing","Marshall County VAM",224038,0,"100%","2015","CCO-0","Compliance",2018-12-31,2016-07-12
"1109","CALS5155-A","Livestock","Maple Leaf Dairy","Maple Leaf Dairy West",14935,0,"100%","2015","CCO-0","Compliance",2018-07-31,2017-02-21
"1107","CALS5156-A","Livestock","Maple Leaf Dairy","Maple Leaf Dairy East",7720,0,"100%","2015","CCO-0","Compliance",2018-07-31,2017-02-21
"1098","CALS5075-B","Livestock","CSE","Linde",1523,0,"100%","2015","CCO-8","Compliance",2023-04-30,2017-05-09
"1084","CALS5025-B","Livestock","Ideal Family Farms","Ideal Family Farms Digester",2269,0,"100%","2015","CCO-0","Compliance",2018-01-31,2017-04-11
"1053","CALS5154-A","Livestock","Holsum Dairies","Holsum Irish Dairy",15841,5380,"66%","2015","CCO-0","Compliance",2018-03-31,2016-01-12
"1036","CALS5263-A","Livestock","High Island Dairy","High Island Dairy",21886,0,"100%","2015","CCO-0","Compliance",2018-11-30,2016-10-11
"1025","CAFR5012-C","U.S. Forest","Forest Carbon Partners","Hanes Ranch Forest Carbon",8121,8121,"0%","2015","CCO-8","Compliance",2023-08-25,2016-10-25
"995","CALS5143-B","Livestock","Grotegut Dairy","Grotegut Dairy Farm, Inc.",15216,15216,"0%","2015","CCO-0","Compliance",2018-07-31,2019-06-11
"962","CAFR5206-A","U.S. Forest","Milbury Plantation,","Green Assets – Milbury",124306,24306,"80%","2015","CCO-8","Compliance",2023-12-10,2017-03-07
"936","CAFR5105-A","U.S. Forest","Green Assets","Green Assets – Middleton",74798,50134,"33%","2015","CCO-0","Compliance",2018-08-14,2016-09-13
"934","CAFR5205-A","U.S. Forest","Green Assets","Green Assets – Lukens",52146,52146,"0%","2015","CCO-8","Compliance",2023-10-29,2017-02-07
"919","CALS5181-A","Livestock","Gardeau Crest","Gardeau Crest Dairy",14179,0,"100%","2015","CCO-0","Compliance",2018-11-26,2016-12-27
"884","CAFR5149-A","U.S. Forest","Forest Carbon Partners","Forest Carbon Partners – Glass",218922,122290,"44%","2015","CCO-8","Compliance",2023-06-21,2016-11-08
"881","CAFR5150-A","U.S. Forest","Forest Carbon Partners","Forest Carbon Partners –",231958,231958,"0%","2015","CCO-8","Compliance",2023-12-08,2017-04-11
"873","CALS5142-A","Livestock","Fiscalini Properties","Fiscalini Farms Anaerobic",7922,3961,"50%","2015","CCO-8","Compliance",2023-12-31,2017-09-26
"844","CAFR5034-B","U.S. Forest","Finite Carbon","Finite Carbon – The Forestland",98142,98142,"0%","2015","CCO-8","Compliance",2023-01-07,2018-12-24
"783","CAFR5130-A","U.S. Forest","Finite Carbon","Finite Carbon – MWF",7873,5905,"25%","2015","CCO-8","Compliance",2023-04-30,2016-08-09
"733","CAFR5317-A","U.S. Forest","Finite Carbon","Finite Carbon – Lyme Grand",484167,0,"100%","2015","CCO-8","Compliance",2023-09-29,2016-08-09
"723","CAFR5089-B","U.S. Forest","Finite Carbon","Finite Carbon – JTO Champion",112504,14625,"87%","2015","CCO-8","Compliance",2023-08-31,2017-12-12
"706","CAFR5195-A2","U.S. Forest","Finite Carbon","Finite Carbon –",484533,138795,"71%","2015","CCO-0","Compliance",2018-08-31,2017-03-07
"702","CAFR5195-A3","U.S. Forest","Finite Carbon","Finite Carbon –",2251191,0,"100%","2015","CCO-0","Compliance",2018-08-31,2017-06-13
"700","CAFR5195-A","U.S. Forest","Finite Carbon","Finite Carbon –",482770,72887,"85%","2015","CCO-0","Compliance",2018-08-31,2016-11-22
"688","CALS5128-A","Livestock","Farm Power Lynden","Farm Power Lynden Anaerobic",22901,0,"100%","2015","CCO-0","Compliance",2018-07-31,2016-05-10
"663","CALS5120-A","Livestock","Fair Oaks Dairy","Fair Oaks Dairy Farm LLC",56790,0,"100%","2015","CCO-0","Compliance",2018-08-31,2016-09-13
"661","CALS5121-A","Livestock","Fair Oaks Dairy","Fair Oaks Dairy Farm LLC",7421,0,"100%","2015","CCO-8","Compliance",2023-07-22,2016-08-09
"639","CAOD5216-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 285",45663,0,"100%","2015","CCO-8","Compliance",2023-11-24,2016-01-26
"637","CAOD5189-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 253",135017,0,"100%","2015","CCO-8","Compliance",2023-12-21,2016-02-23
"636","CAOD5188-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 252",140736,0,"100%","2015","CCO-8","Compliance",2023-11-19,2016-02-09
"635","CAOD5140-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 240",129700,39700,"69%","2015","CCO-8","Compliance",2023-10-18,2015-12-22
"634","CAOD5069-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 214",145580,0,"100%","2015","CCO-8","Compliance",2023-05-20,2015-07-21
"633","CAOD5068-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ACR 213",127664,92365,"28%","2015","CCO-0","Compliance",2018-03-24,2015-06-23
"554","CALS5139-A","Livestock","Edaleen Cow Power","Edaleen Cow Power, LLC",8746,0,"100%","2015","CCO-0","Compliance",2018-08-31,2016-07-12
"483","CAOD5190-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",130995,17166,"87%","2015","CCO-0","Compliance",2018-09-03,2015-10-27
"467","CAOD5078-A","Ozone Depleting Substances","A-Gas","DPC Domestic ODS",128161,81161,"37%","2015","CCO-0","Compliance",2018-04-19,2015-08-11
"435","CALS5108-A","Livestock","Ag Power Llc","Double A Dairy",60194,0,"100%","2015","CCO-0","Compliance",2018-12-21,2016-11-08
"418","CALS5127-A","Livestock","Riverview LLP","District 45 Dairy",22318,0,"100%","2015","CCO-0","Compliance",2018-10-31,2016-05-10
"396","CALS5020-B","Livestock","WTE Dairies","Deer Run Digester",4095,0,"100%","2015","CCO-0","Compliance",2018-03-31,2016-02-09
"390","CALS5021-B","Livestock","WTE Dairies","Dairyland Digester",16381,0,"100%","2015","CCO-0","Compliance",2018-03-31,2016-02-09
"383","CALS5109-A","Livestock","Native Energy","Dairy Dreams Methane",18620,0,"100%","2015","CCO-0","Compliance",2018-09-30,2016-03-22
"371","CALS5074-B","Livestock","CSE","CSE Arizona Facility",9635,0,"100%","2015","CCO-0","Compliance",2018-03-31,2016-04-26
"338","CALS5151-A","Livestock","Blue Spruce Energy","Cottonwood Dairy Livestock",40236,0,"100%","2015","CCO-0","Compliance",2018-12-31,2017-02-21
"318","CAOD5260-A","Ozone Depleting Substances","A-Gas","Coolgas 2015-3",108622,0,"100%","2015","CCO-0","Compliance",2018-12-25,2016-05-24
"298","CAOD5222-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 16",245946,0,"100%","2015","CCO-0","Compliance",2018-11-02,2016-07-12
"291","CALS5123-A","Livestock","Central Sands Dairy","Central Sands Dairy, LLC",13102,0,"100%","2015","CCO-0","Compliance",2018-03-31,2016-06-07
"268","CAFR5055-B","U.S. Forest",NA,"Buckeye Forest Project",95539,45539,"52%","2015","CCO-0","Compliance",2018-05-31,2016-12-13
"261","CAFR5058-A","U.S. Forest","Sierra Pacific Industries","Buck Mountain ARB002",244181,50000,"80%","2015","CCO-8","Compliance",2023-01-25,2017-11-21
"255","CAFR5096-B","U.S. Forest","Coastal Forestlands,","Brushy Mountain",145410,0,"100%","2015","CCO-0","Compliance",2018-09-30,2016-08-09
"247","CAFR5200-A","U.S. Forest","Edward Miller","Brush Creek",53171,0,"100%","2015","CCO-8","Compliance",2023-06-30,2016-09-27
"237","CALS5041-B","Livestock","Brook View Dairy","Brook View Dairy Methane",14773,14773,"0%","2015","CCO-0","Compliance",2018-01-31,2015-07-21
"197","CALS5122-A","Livestock","Bridgewater Dairy","Bridgewater Dairy LLC",11633,0,"100%","2015","CCO-0","Compliance",2018-03-31,2016-02-23
"140","CAFR5043-B","U.S. Forest","Blue Source","Blue Source – Goodman",14986,0,"100%","2015","CCO-8","Compliance",2023-06-30,2017-04-11
"128","CAFR5003-C","U.S. Forest","Finite Carbon","Blue Source – Bishop Improved",282627,91313,"68%","2015","CCO-0","Compliance",2018-06-23,2016-09-27
"113","CALS5014-C","Livestock","Blue Mountain Biogas.","Blue Mountain Biogas",50264,0,"100%","2015","CCO-0","Compliance",2018-07-31,2016-01-12
"96","CALS5023-C","Livestock","Big Sky Dairy","Big Sky Dairy",23610,13914,"41%","2015","CCO-0","Compliance",2018-10-29,2017-11-21
"64","CAFR5212-A","U.S. Forest","Bewley Ranches","Bewley Ranches",546264,448383,"18%","2015","CCO-8","Compliance",2023-09-30,2016-10-25
"59","CALS5152-B","Livestock","Aurora Ridge Dairy","Aurora Ridge Dairy",13152,0,"100%","2015","CCO-0","Compliance",2018-12-31,2017-02-21
"39","CALS5134-A","Livestock","Alliance Dairies","Alliance Dairy",12382,0,"100%","2015","CCO-0","Compliance",2018-11-05,2016-11-22
"28","CALS5071-A","Livestock","California Bioenergy","ABEC New Hope LLC",4978,896,"82%","2015","CCO-8","Compliance",2023-12-31,2017-01-24
"11","CAOD5201-A","Ozone Depleting Substances",NA,"A-GAS Americas 2015-2",135577,0,"100%","2015","CCO-0","Compliance",2018-07-01,2016-03-22
"10","CAOD5185-A","Ozone Depleting Substances",NA,"A-GAS Americas 2015-1",134418,31958,"76%","2015","CCO-0","Compliance",2018-03-02,2015-10-27
"1779","CAFR5011-B","U.S. Forest","Forest Carbon Partners","Yurok Tribe/Forest Carbon",16436,15331,"7%","2014","CCO-0","Compliance",2017-03-31,2015-05-12
"1778","CAFR0064-D","U.S. Forest","Forest Carbon Partners","Yurok Tribe Sustainable Forest",19606,0,"100%","2014","CCO-8","Early Action",2024-08-31,2016-08-31
"1760","CALS0113-A","Livestock","WTE Dairies","WTE-Dallmann, LLC",8642,8642,"0%","2014","CCO-0","Early Action",2018-12-22,2015-12-22
"1723","CALS0021-C","Livestock","Camco International","Willow Point Dairy, LLC",20726,4960,"76%","2014","CCO-0","Compliance",2018-01-13,2015-01-13
"1695","CAFR0001-K","U.S. Forest","Coastal Ridges LLC","Willits Woods",137531,0,"100%","2014","CCO-8","Early Action",2023-11-23,2015-11-23
"1677","CALS0094-B","Livestock","Camco International","Willet Dairy",17145,0,"100%","2014","CCO-0","Compliance",2018-10-13,2015-10-13
"1661","CAFR5072-A","U.S. Forest","White Mountain Apache Tribe","White Mountain Apache Tribe",3824852,926817,"76%","2014","CCO-0","Compliance",2017-07-31,2015-10-13
"1637","CALS0014-D","Livestock","Camco International","West River Farm Anaerobic",20243,0,"100%","2014","CCO-0","Compliance",2018-08-25,2015-08-25
"1629","CALS5019-A","Livestock","WTE Dairies","Wakker Digester",4830,0,"100%","2014","CCO-0","Compliance",2017-03-31,2015-04-21
"1616","CAOD5070-A","Ozone Depleting Substances","Wabashco, Inc","Wabashco Clean Sweep 3",112378,112378,"0%","2014","CCO-0","Compliance",2017-07-02,2014-11-12
"1555","CALS0043-C","Livestock","Camco International","Vanderhyde Dairy",8911,8911,"0%","2014","CCO-0","Early Action",2018-04-21,2015-04-21
"1543","CALS5060-C","Livestock","Van Erk Digester","Van-Erk Digester Project",1435,0,"100%","2014","CCO-8","Compliance",2022-12-31,2017-04-11
"1527","CAFR0123-H","U.S. Forest","Usal Redwood","Usal Redwood Forest",274013,92280,"66%","2014","CCO-3","Early Action",2019-08-09,2016-08-09
"1519","CAFR5076-A","U.S. Forest","Forest Carbon Partners","Trinity Timberlands University",685099,632768,"8%","2014","CCO-8","Compliance",2022-09-18,2015-06-23
"1478","CAFR0049-H","U.S. Forest","Pacific Forest Trust","The Van Eck Forest",21403,2081,"90%","2014","CCO-3","Early Action",2019-07-12,2016-07-12
"1454","CALS0083-D","Livestock","Camco International","The Dry Creek Dairy",29527,0,"100%","2014","CCO-0","Early Action",2018-08-25,2015-08-25
"1443","CALS0099-D","Livestock","Cargill, Inc","The B6 Dairy Farm",9953,0,"100%","2014","CCO-8","Early Action",2023-10-13,2015-10-13
"1432","CALS5047-B","Livestock","ClimeCo Corporation","T&M Windy Ridge Dairy",19635,0,"100%","2014","CCO-0","Compliance",2017-12-31,2016-04-12
"1424","CALS5046-B","Livestock","ClimeCo Corporation","T&M Hidden View Dairy",8823,0,"100%","2014","CCO-0","Compliance",2017-12-31,2016-03-22
"1412","CALS5045-A","Livestock","ClimeCo Corporation","T&M Herrema Dairy",15242,15200,"0%","2014","CCO-0","Compliance",2017-01-31,2015-04-21
"1408","CALS5044-B","Livestock","ClimeCo Corporation","T&M Bos Dairy",4377,0,"100%","2014","CCO-0","Compliance",2017-12-31,2016-03-22
"1390","CALS0096-B","Livestock","Camco International","Synergy Biogas, LLC",7924,0,"100%","2014","CCO-0","Early Action",2018-10-13,2015-10-13
"1375","CALS0119-C","Livestock","ClimeCo Corporation","Sunnyside Farms Inc",10272,0,"100%","2014","CCO-0","Compliance",2018-12-08,2015-12-08
"1363","CALS5042-B","Livestock","Sunny Knoll Farms","Sunny Knoll Farms Anaerobic",5384,0,"100%","2014","CCO-0","Compliance",2017-10-31,2015-07-07
"1351","CALS5077-A","Livestock","Solar & Renewables Management","Stotz Southern Generation",12431,0,"100%","2014","CCO-0","Compliance",2017-04-30,2015-07-07
"1346","CALS0104-B","Livestock","Camco International","Storms Hog Power, LLC",13641,0,"100%","2014","CCO-0","Compliance",2018-06-23,2015-06-23
"1313","CAOD5056-A","Ozone Depleting Substances","RapRec Refrigerants,","RR ACR 2014",315794,60781,"81%","2014","CCO-0","Compliance",2017-05-23,2015-05-26
"1306","CAFR5028-B","U.S. Forest","Forest Carbon Partners","Round Valley Indian Tribes",7177,7177,"0%","2014","CCO-0","Compliance",2017-11-30,2017-03-21
"1290","CALS5083-A","Livestock","Roeslein Alternative Energy","Roeslein Alternative Energy of",3968,3968,"0%","2014","CCO-8","Compliance",2022-08-31,2015-06-23
"1277","CALS0012-D","Livestock","Camco International","Riverview Farm Anaerobic",29357,0,"100%","2014","CCO-0","Compliance",2018-08-25,2015-08-25
"1267","CAFR0100-B","U.S. Forest","Rips Redwoods","Rips Redwoods",5092,5092,"0%","2014","CCO-8","Compliance",2024-08-23,2016-08-23
"1254","CALS5132-A","Livestock","RES Agriculture","RES Ag – DM4-3 LLC",2385,0,"100%","2014","CCO-0","Compliance",2017-12-31,2015-12-22
"1246","CALS5133-A","Livestock","RES Agriculture","RES Ag – DM2-1 LLC",4984,0,"100%","2014","CCO-0","Compliance",2017-12-31,2015-11-09
"1182","CALS5097-A","Livestock","Pagel's Dairy","Pagel's Ponderosa Dairy",22554,7373,"67%","2014","CCO-0","Compliance",2017-09-30,2018-06-12
"1151","CALS5032-B","Livestock","New Energy One","New Energy One Livestock",30650,30650,"0%","2014","CCO-0","Compliance",2017-09-30,2015-05-26
"1140","CAFR5016-B","U.S. Forest","Edward Miller","Miller Forest",5805,0,"100%","2014","CCO-8","Compliance",2022-06-30,2016-04-26
"1120","CAMM5100-A","Mine Methane","McElroy Green Marketing","Marshall County VAM",280667,0,"100%","2014","CCO-0","Compliance",2017-12-31,2015-11-09
"1113","CALS0112-A","Livestock","Maple Leaf Dairy","Maple Leaf Dairy West",20464,0,"100%","2014","CCO-0","Compliance",2019-05-10,2016-05-10
"1105","CALS0111-A","Livestock","Maple Leaf Dairy","Maple Leaf Dairy East",2762,0,"100%","2014","CCO-0","Early Action",2019-05-10,2016-05-10
"1097","CALS5075-A","Livestock","CSE","Linde",1452,0,"100%","2014","CCO-0","Compliance",2017-04-30,2015-05-26
"1088","CALS5025-A","Livestock","Ideal Family Farms","Ideal Family Farms Digester",5829,4577,"21%","2014","CCO-0","Compliance",2017-01-31,2015-05-12
"1047","CALS0108-A","Livestock","Holsum Dairies","Holsum Irish Dairy",17733,12146,"32%","2014","CCO-0","Early Action",2018-08-25,2015-08-25
"1040","CALS0107-B","Livestock","Holsum Dairies","Holsum Elm",23308,0,"100%","2014","CCO-3","Compliance",2019-07-12,2016-07-12
"1039","CALS0107-A","Livestock","Holsum Dairies","Holsum Elm",25259,0,"100%","2014","CCO-0","Compliance",2018-08-25,2015-08-25
"1023","CAFR5012-B","U.S. Forest","Forest Carbon Partners","Hanes Ranch Forest Carbon",8121,952,"88%","2014","CCO-8","Compliance",2022-08-25,2016-10-25
"1005","CAFR0042-H","U.S. Forest","The Conservation Fund","Gualala River Forest",11982,0,"100%","2014","CCO-8","Compliance",2023-12-22,2015-12-22
"981","CALS0034-D","Livestock","Origin Climate Inc.","Green Valley Dairy",18641,0,"100%","2014","CCO-0","Compliance",2018-09-22,2015-09-22
"978","CAMM0101-D","Mine Methane","Solvay Chemicals Inc.","Green River Trona Mine",143397,0,"100%","2014","CCO-0","Compliance",2019-01-26,2016-01-26
"974","CAMM0101-E","Mine Methane","Solvay Chemicals Inc.","Green River Trona Mine",103591,0,"100%","2014","CCO-0","Compliance",2019-01-26,2016-01-26
"921","CALS0097-B","Livestock","Camco International","Gardeau Crest Dairy",12996,9897,"24%","2014","CCO-0","Early Action",2018-10-13,2015-10-13
"848","CAFR5034-A","U.S. Forest","Finite Carbon","Finite Carbon – The Forestland",1165601,1140044,"2%","2014","CCO-0","Compliance",2017-01-07,2014-12-23
"812","CAFR5084-A","U.S. Forest","Finite Carbon","Finite Carbon – Potlatch Moro",57872,0,"100%","2014","CCO-8","Compliance",2022-07-26,2016-03-08
"725","CAFR5089-A","U.S. Forest","Finite Carbon","Finite Carbon – JTO Champion",695618,0,"100%","2014","CCO-0","Compliance",2017-08-31,2016-02-23
"712","CAFR5063-A","U.S. Forest","Finite Carbon","Finite Carbon – Berry Summit",3509,0,"100%","2014","CCO-8","Compliance",2022-03-01,2016-03-08
"677","CALS0024-D","Livestock","Camco International","Fair Oaks Dairy Farm, LLC",64352,64351,"0%","2014","CCO-0","Compliance",2018-08-25,2015-08-25
"667","CALS0023-C","Livestock","Camco International","Fair Oaks Dairy Farm, LLC",2280,0,"100%","2014","CCO-0","Early Action",2018-08-25,2015-08-25
"657","CAOD5065-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ARB ODS 2014-2",33214,0,"100%","2014","CCO-8","Compliance",2022-06-02,2015-02-24
"656","CAOD5049-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ARB ODS 2014-1",122080,122080,"0%","2014","CCO-0","Compliance",2017-04-01,2014-11-25
"655","CAOD5048-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ARB ODS 2013-8",67490,13810,"80%","2014","CCO-8","Compliance",2022-02-14,2014-11-25
"654","CAOD5035-A","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS ARB ODS 2013-7",84418,69554,"18%","2014","CCO-8","Compliance",2022-01-30,2014-04-22
"577","CAOD0059-D","Ozone Depleting Substances","EOS Climate (Blue Source)","EOS-2013 Domestic",41061,40381,"2%","2014","CCO-0","Early Action",2017-11-25,2014-11-25
"571","CAMM0120-A","Mine Methane","Vessels Coal Inc","Elk Creek Coal Mine Methane",199146,0,"100%","2014","CCO-0","Early Action",2019-04-12,2016-04-12
"569","CAMM0120-E","Mine Methane","Vessels Coal Inc","Elk Creek Coal Mine Methane",35454,32590,"8%","2014","CCO-3","Early Action",2019-08-23,2016-08-23
